"Publisher Book","Editora de Livro"
"Book Publisher","Editora de Livro"
"ID","ID"
"Name","Nome"
"Name Publisher","Nome da Editora"
"Address","Endereço"
"Logo Publisher","Logo da Editora"
"CNPJ","CNPJ"
"Created","Criado em"
"Update","Atualizado em"
"Edit Publisher","Editar Editora"
"Add New Publisher","Adicionar Nova Editora"
"Save","Salvar"
"Back","Voltar"
"Delete","Excluir"
"Enable","Ativar"
"Disable","Desativar"
"Search","Pesquisar"
"Actions","Ações"
"Edit","Editar"
"Are you sure you want to delete this item?","Tem certeza de que deseja excluir este item?"
"Add New Publisher Book","Adicionar nova Editora"
"We couldn't find any records.","Não conseguimos encontrar nenhum registro."
"New Publisher Book","Nova Editora"
"General Information","Informações Gerais"
"File can not be saved to the destination folder.","O arquivo não pode ser salvo na pasta de destino."
"Something went wrong while saving the file(s).","Algo deu errado ao salvar o(s) arquivo(s)."
"No data to save.","Sem Dados para salvar"
"Book Publisher has been saved","A editora de livros foi salva"
"Error saving a Publisher","Erro ao salvar uma Editora"
"You deleted the Publisher.","Você excluiu o Publisher."
"We can\'t find a Publisher to delete.","Não conseguimos encontrar um editor para excluir."
"Book Publisher has been saved","A editora de livros foi salva"
"Are you sure you wan\'t to delete a %1 record?","Tem certeza de que deseja excluir um registro %1?"
"Publisher with id "%1" does not exist.","A editora com id "%1" não existe.
